"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","SOS SEASON","ECR VS. ADP"
"153",10,"Zay Jones",JAX,"WR61","9","4 out of 5 stars","0"
"154",10,"Skyy Moore",KC,"WR62","10","2 out of 5 stars","-11"
"155",10,"Kenneth Gainwell",PHI,"RB50","10","1 out of 5 stars","+3"
"156",10,"Kendre Miller",NO,"RB51","11","4 out of 5 stars","-18"
"157",10,"Michael Gallup",DAL,"WR63","7","2 out of 5 stars","+27"
"158",10,"Gus Edwards",BAL,"RB52","13","3 out of 5 stars","+45"
"159",10,"Dallas Cowboys",DAL,"DST2","7","2 out of 5 stars","+4"
"160",10,"Buffalo Bills",BUF,"DST3","13","1 out of 5 stars","+16"
"161",10,"Bryce Young",CAR,"QB23","7","4 out of 5 stars","-9"
"162",10,"Chuba Hubbard",CAR,"RB53","7","4 out of 5 stars","+15"
"163",10,"Philadelphia Eagles",PHI,"DST4","10","2 out of 5 stars","-9"
"164",10,"Dalton Kincaid",BUF,"TE21","13","3 out of 5 stars","-29"
"165",10,"Kyler Murray",ARI,"QB24","14","2 out of 5 stars","-21"
"166",10,"Rashid Shaheed",NO,"WR64","11","4 out of 5 stars","+15"
"167",10,"New England Patriots",NE,"DST5","11","2 out of 5 stars","+2"
"168",10,"Romeo Doubs",GB,"WR65","6","3 out of 5 stars","-11"
"169",10,"Ezekiel Elliott",FA,"RB54","-","-","-30"
"170",10,"Justin Tucker",BAL,"K1","13","5 out of 5 stars","-"
"171",10,"Tank Bigsby",JAX,"RB55","9","2 out of 5 stars","-9"
"172",10,"Clyde Edwards-Helaire",KC,"RB56","10","4 out of 5 stars","+29"
"173",10,"Roschon Johnson",CHI,"RB57","13","5 out of 5 stars","-13"
"174",10,"Denver Broncos",DEN,"DST6","9","2 out of 5 stars","+46"
"175",10,"New York Jets",NYJ,"DST7","7","2 out of 5 stars","+18"
"176",10,"Baltimore Ravens",BAL,"DST8","13","3 out of 5 stars","+14"
"177",10,"Cordarrelle Patterson",ATL,"RB58","11","4 out of 5 stars","+10"
"178",10,"Irv Smith Jr.",CIN,"TE22","7","4 out of 5 stars","-19"
"179",10,"Jerome Ford",CLE,"RB59","5","3 out of 5 stars","+7"
"180",10,"Tyler Bass",BUF,"K2","13","4 out of 5 stars","-"
"181",10,"K.J. Osborn",MIN,"WR66","13","3 out of 5 stars","-39"
"182",10,"Alec Pierce",IND,"WR67","11","4 out of 5 stars","-7"
"183",10,"Trey McBride",ARI,"TE23","14","2 out of 5 stars","+32"
"184",11,"C.J. Stroud",HOU,"QB25","7","3 out of 5 stars","-16"
"185",11,"Hunter Henry",NE,"TE24","11","2 out of 5 stars","+21"
"186",11,"Zamir White",LV,"RB60","13","3 out of 5 stars","+57"
"187",11,"Daniel Carlson",LV,"K3","13","2 out of 5 stars","-"
"188",11,"Curtis Samuel",WAS,"WR68","14","3 out of 5 stars","+8"
"189",11,"Evan McPherson",CIN,"K4","7","0 out of 5 stars","-"
"190",11,"Marquez Valdes-Scantling",KC,"WR69","10","2 out of 5 stars","+7"
"191",11,"Jimmy Garoppolo",LV,"QB26","13","4 out of 5 stars","-27"
"192",11,"Harrison Butker",KC,"K5","10","5 out of 5 stars","-"
"193",11,"Mac Jones",NE,"QB27","11","2 out of 5 stars","-13"
